size_bin,slice_id,D_est
"[11880, 47030)",0,1.4114966721994069
"[11880, 47030)",1,1.346683181804921
"[11880, 47030)",2,1.317235501880248
"[11880, 47030)",3,1.302884347782073
"[11880, 47030)",4,1.2924289689386925
"[11880, 47030)",5,1.2853702599282761
"[11880, 47030)",6,1.2811490957993985
"[11880, 47030)",7,1.2795588815597205
"[11880, 47030)",8,1.2793255552900928
"[11880, 47030)",9,1.2810372881595282
"[11880, 47030)",10,1.2841120295298356
"[11880, 47030)",11,1.2880126133247727
"[11880, 47030)",12,1.2923407667967375
"[11880, 47030)",13,1.296213125471062
"[11880, 47030)",14,1.2999873917571494
"[11880, 47030)",15,1.3031427797562907
"[11880, 47030)",16,1.305946128951656
"[11880, 47030)",17,1.308729088946339
"[11880, 47030)",18,1.3110039663396318
"[11880, 47030)",19,1.3128028915589356
"[11880, 47030)",20,1.313984789300796
"[11880, 47030)",21,1.3149228215977518
"[11880, 47030)",22,1.3158951600686943
"[11880, 47030)",23,1.317106252487512
"[11880, 47030)",24,1.3183597936598317
"[11880, 47030)",25,1.3201923035731118
"[11880, 47030)",26,1.3224150452910188
"[11880, 47030)",27,1.3250826614523283
"[11880, 47030)",28,1.3281055271299205
"[11880, 47030)",29,1.3299626712886428
"[11880, 47030)",30,
"[11880, 47030)",31,
"[11880, 47030)",32,
"[11880, 47030)",33,
"[11880, 47030)",34,
"[11880, 47030)",35,
"[11880, 47030)",36,
"[11880, 47030)",37,
"[11880, 47030)",38,
"[11880, 47030)",39,
"[11880, 47030)",40,
"[11880, 47030)",41,
"[11880, 47030)",42,
"[11880, 47030)",43,
"[11880, 47030)",44,
"[11880, 47030)",45,
"[11880, 47030)",46,
"[11880, 47030)",47,
"[11880, 47030)",48,
"[11880, 47030)",49,
"[186182, 737051)",0,1.407148445950725
"[186182, 737051)",1,1.3476609507003383
"[186182, 737051)",2,1.3197343079752333
"[186182, 737051)",3,1.304255012565676
"[186182, 737051)",4,1.2923284329871623
"[186182, 737051)",5,1.2842213223010743
"[186182, 737051)",6,1.2801565764330807
"[186182, 737051)",7,1.2789398653620032
"[186182, 737051)",8,1.2795690554872297
"[186182, 737051)",9,1.2815875780822645
"[186182, 737051)",10,1.2843825693213227
"[186182, 737051)",11,1.288434795204526
"[186182, 737051)",12,1.2925582435064191
"[186182, 737051)",13,1.295954418392166
"[186182, 737051)",14,1.2993960687281212
"[186182, 737051)",15,1.3030459881797594
"[186182, 737051)",16,1.3058268057060245
"[186182, 737051)",17,1.3081290079658017
"[186182, 737051)",18,1.310156672662834
"[186182, 737051)",19,1.3116927851429596
"[186182, 737051)",20,1.3130386920612478
"[186182, 737051)",21,1.3141884073140722
"[186182, 737051)",22,1.3153732034785233
"[186182, 737051)",23,1.3165838703299568
"[186182, 737051)",24,1.3180227725158593
"[186182, 737051)",25,1.3197590397645727
"[186182, 737051)",26,1.3218349744219065
"[186182, 737051)",27,1.324824847492727
"[186182, 737051)",28,1.3279534074566635
"[186182, 737051)",29,1.3298780457258537
"[186182, 737051)",30,
"[186182, 737051)",31,
"[186182, 737051)",32,
"[186182, 737051)",33,
"[186182, 737051)",34,
"[186182, 737051)",35,
"[186182, 737051)",36,
"[186182, 737051)",37,
"[186182, 737051)",38,
"[186182, 737051)",39,
"[186182, 737051)",40,
"[186182, 737051)",41,
"[186182, 737051)",42,
"[186182, 737051)",43,
"[186182, 737051)",44,
"[186182, 737051)",45,
"[186182, 737051)",46,
"[186182, 737051)",47,
"[186182, 737051)",48,
"[186182, 737051)",49,
"[3001, 11880)",0,1.4103030031659591
"[3001, 11880)",1,1.3466912660582742
"[3001, 11880)",2,1.3164299233743613
"[3001, 11880)",3,1.2980019895299573
"[3001, 11880)",4,1.2871652627204022
"[3001, 11880)",5,1.2811078128281785
"[3001, 11880)",6,1.277709013614911
"[3001, 11880)",7,1.275713320529572
"[3001, 11880)",8,1.2759236925211872
"[3001, 11880)",9,1.2774061365517708
"[3001, 11880)",10,1.2808937040846053
"[3001, 11880)",11,1.2853982074711852
"[3001, 11880)",12,1.2898142581735872
"[3001, 11880)",13,1.2939351884064496
"[3001, 11880)",14,1.2980464407924934
"[3001, 11880)",15,1.302057207667953
"[3001, 11880)",16,1.3056147491775465
"[3001, 11880)",17,1.3087480283220962
"[3001, 11880)",18,1.311023414902285
"[3001, 11880)",19,1.3127973674374418
"[3001, 11880)",20,1.313779091366739
"[3001, 11880)",21,1.314673790496173
"[3001, 11880)",22,1.3156042544427915
"[3001, 11880)",23,1.3170121755557997
"[3001, 11880)",24,1.3184637439506308
"[3001, 11880)",25,1.32015764857211
"[3001, 11880)",26,1.3223079149923525
"[3001, 11880)",27,1.3251376910005894
"[3001, 11880)",28,1.328159545067984
"[3001, 11880)",29,1.3300168770603311
"[3001, 11880)",30,
"[3001, 11880)",31,
"[3001, 11880)",32,
"[3001, 11880)",33,
"[3001, 11880)",34,
"[3001, 11880)",35,
"[3001, 11880)",36,
"[3001, 11880)",37,
"[3001, 11880)",38,
"[3001, 11880)",39,
"[3001, 11880)",40,
"[3001, 11880)",41,
"[3001, 11880)",42,
"[3001, 11880)",43,
"[3001, 11880)",44,
"[3001, 11880)",45,
"[3001, 11880)",46,
"[3001, 11880)",47,
"[3001, 11880)",48,
"[3001, 11880)",49,
"[47030, 186182)",0,1.4107005075404708
"[47030, 186182)",1,1.3507458980265545
"[47030, 186182)",2,1.3201028268019641
"[47030, 186182)",3,1.3020997062484518
"[47030, 186182)",4,1.2892140839551947
"[47030, 186182)",5,1.2809996315111238
"[47030, 186182)",6,1.2765680939135582
"[47030, 186182)",7,1.2747619463045747
"[47030, 186182)",8,1.2757205983653812
"[47030, 186182)",9,1.2772021563650011
"[47030, 186182)",10,1.2803830632774302
"[47030, 186182)",11,1.284716697544324
"[47030, 186182)",12,1.2889791031468132
"[47030, 186182)",13,1.29299242787279
"[47030, 186182)",14,1.2970107159457058
"[47030, 186182)",15,1.3005502451801636
"[47030, 186182)",16,1.3039401002121311
"[47030, 186182)",17,1.3074527218524723
"[47030, 186182)",18,1.3102804916924655
"[47030, 186182)",19,1.3118622422691983
"[47030, 186182)",20,1.3129214881718587
"[47030, 186182)",21,1.3138091780717374
"[47030, 186182)",22,1.3150187428435092
"[47030, 186182)",23,1.3166697991342267
"[47030, 186182)",24,1.318352012570603
"[47030, 186182)",25,1.3201779443828976
"[47030, 186182)",26,1.322421728553584
"[47030, 186182)",27,1.325214089354886
"[47030, 186182)",28,1.3283355085241315
"[47030, 186182)",29,1.3301585208315907
"[47030, 186182)",30,
"[47030, 186182)",31,
"[47030, 186182)",32,
"[47030, 186182)",33,
"[47030, 186182)",34,
"[47030, 186182)",35,
"[47030, 186182)",36,
"[47030, 186182)",37,
"[47030, 186182)",38,
"[47030, 186182)",39,
"[47030, 186182)",40,
"[47030, 186182)",41,
"[47030, 186182)",42,
"[47030, 186182)",43,
"[47030, 186182)",44,
"[47030, 186182)",45,
"[47030, 186182)",46,
"[47030, 186182)",47,
"[47030, 186182)",48,
"[47030, 186182)",49,
"[737051, 2917801)",0,1.4079613953845442
"[737051, 2917801)",1,1.3487130743294355
"[737051, 2917801)",2,1.3192009254653998
"[737051, 2917801)",3,1.3014671936006814
"[737051, 2917801)",4,1.2895657393420141
"[737051, 2917801)",5,1.2825225243841238
"[737051, 2917801)",6,1.2795058836783113
"[737051, 2917801)",7,1.2788678250817653
"[737051, 2917801)",8,1.2799546899814982
"[737051, 2917801)",9,1.2826801894607383
"[737051, 2917801)",10,1.2865998621232204
"[737051, 2917801)",11,1.2907863193227422
"[737051, 2917801)",12,1.2946899911232366
"[737051, 2917801)",13,1.298048803909105
"[737051, 2917801)",14,1.3011464689149472
"[737051, 2917801)",15,1.3041135968836668
"[737051, 2917801)",16,1.306787581275313
"[737051, 2917801)",17,1.3086497321053596
"[737051, 2917801)",18,1.3104114748779683
"[737051, 2917801)",19,1.3116563490757964
"[737051, 2917801)",20,1.3128211423579486
"[737051, 2917801)",21,1.3137860537265016
"[737051, 2917801)",22,1.314724955863318
"[737051, 2917801)",23,1.3159580178243457
"[737051, 2917801)",24,1.3173850910285136
"[737051, 2917801)",25,1.3191268309160065
"[737051, 2917801)",26,1.3215130897179923
"[737051, 2917801)",27,1.3242689685355926
"[737051, 2917801)",28,1.3274932332721578
"[737051, 2917801)",29,1.3293774520927708
"[737051, 2917801)",30,
"[737051, 2917801)",31,
"[737051, 2917801)",32,
"[737051, 2917801)",33,
"[737051, 2917801)",34,
"[737051, 2917801)",35,
"[737051, 2917801)",36,
"[737051, 2917801)",37,
"[737051, 2917801)",38,
"[737051, 2917801)",39,
"[737051, 2917801)",40,
"[737051, 2917801)",41,
"[737051, 2917801)",42,
"[737051, 2917801)",43,
"[737051, 2917801)",44,
"[737051, 2917801)",45,
"[737051, 2917801)",46,
"[737051, 2917801)",47,
"[737051, 2917801)",48,
"[737051, 2917801)",49,
