cloud_id,slice_id,area,perimeter,source_file,size_bin
731,-1,4575,1204,lattice_133_20250503_034009.csv,"[3001, 11880)"
1055,-1,8943,2750,lattice_42_20250502_153428.csv,"[3001, 11880)"
369,-1,6210,1854,lattice_94_20250503_020925.csv,"[3001, 11880)"
1141,-1,5232,1274,lattice_63_20250502_164106.csv,"[3001, 11880)"
313,-1,4637,1240,lattice_146_20250503_041037.csv,"[3001, 11880)"
1509,-1,6744,1796,lattice_115_20250503_030806.csv,"[3001, 11880)"
895,-1,4141,1082,lattice_147_20250502_203506.csv,"[3001, 11880)"
446,-1,4741,1228,lattice_186_20250502_220359.csv,"[3001, 11880)"
433,-1,5327,1486,lattice_138_20250502_200605.csv,"[3001, 11880)"
65,-1,4746,1442,lattice_105_20250502_190114.csv,"[3001, 11880)"
1386,-1,7153,1856,lattice_146_20250503_041037.csv,"[3001, 11880)"
634,-1,3539,888,lattice_177_20250503_050822.csv,"[3001, 11880)"
1588,-1,3109,1182,lattice_67_20250503_013312.csv,"[3001, 11880)"
440,-1,9804,1670,lattice_14_20250502_132403.csv,"[3001, 11880)"
1526,-1,3751,1394,lattice_167_20250502_210652.csv,"[3001, 11880)"
1334,-1,4843,1370,lattice_55_20250503_010143.csv,"[3001, 11880)"
400,-1,3438,1066,lattice_188_20250502_220354.csv,"[3001, 11880)"
58,-1,4847,1364,lattice_175_20250502_211306.csv,"[3001, 11880)"
1118,-1,3018,894,lattice_3_20250502_232724.csv,"[3001, 11880)"
489,-1,3240,1160,lattice_193_20250502_222119.csv,"[3001, 11880)"
955,-1,4494,1010,lattice_145_20250502_203405.csv,"[3001, 11880)"
1139,-1,3394,1204,lattice_71_20250502_173736.csv,"[3001, 11880)"
1536,-1,6141,1552,lattice_118_20250502_193507.csv,"[3001, 11880)"
1588,-1,8012,1822,lattice_130_20250503_033916.csv,"[3001, 11880)"
550,-1,5469,1328,lattice_18_20250502_143035.csv,"[3001, 11880)"
1187,-1,3147,808,lattice_107_20250503_024028.csv,"[3001, 11880)"
672,-1,7176,2170,lattice_64_20250503_013010.csv,"[3001, 11880)"
1300,-1,7311,1762,lattice_84_20250502_182143.csv,"[3001, 11880)"
1087,-1,3652,1102,lattice_162_20250503_044208.csv,"[3001, 11880)"
57,-1,7994,1718,lattice_93_20250503_020735.csv,"[3001, 11880)"
318,-1,3996,862,lattice_137_20250503_034159.csv,"[3001, 11880)"
755,-1,3303,714,lattice_164_20250503_044211.csv,"[3001, 11880)"
1069,-1,6923,1638,lattice_106_20250502_190144.csv,"[3001, 11880)"
1205,-1,9348,1720,lattice_144_20250503_040545.csv,"[3001, 11880)"
278,-1,6783,1676,lattice_93_20250503_020735.csv,"[3001, 11880)"
1179,-1,3491,1316,lattice_53_20250502_163318.csv,"[3001, 11880)"
62,-1,5916,1944,lattice_93_20250503_020735.csv,"[3001, 11880)"
295,-1,3766,888,lattice_51_20250502_163447.csv,"[3001, 11880)"
