cloud_id,slice_id,area,perimeter
9,-1,26942,4968
9,0,802,506
9,1,2974,986
9,2,5022,1146
9,3,6608,1344
9,4,7748,1554
9,5,9110,1672
9,6,10522,1886
9,7,12050,2156
9,8,14204,2694
9,9,17002,3584
9,10,19774,4188
9,11,23338,4714
9,12,27384,5292
9,13,31298,5752
9,14,35212,6146
9,15,38694,6496
9,16,41380,6696
9,17,43486,7228
9,18,44996,7796
9,19,46058,8150
9,20,47176,8286
9,21,48774,8450
9,22,50168,8670
9,23,51108,8840
9,24,51796,8992
9,25,52190,9144
9,26,52852,9468
9,27,53324,9616
9,28,53598,9732
9,29,53884,9930
10,-1,4894,1168
10,0,42,60
10,1,154,158
10,2,350,348
10,3,772,628
10,4,1384,800
10,5,2002,898
10,6,2646,926
10,7,3296,972
10,8,3920,1014
10,9,4546,1070
10,10,5210,1106
10,11,5644,1126
10,12,6080,1166
10,13,6514,1210
10,14,6936,1242
10,15,7334,1282
10,16,7730,1368
10,17,8076,1464
10,18,8388,1544
10,19,8662,1616
10,20,8934,1656
10,21,9174,1746
10,22,9358,1888
10,23,9468,2034
10,24,9550,2114
10,25,9630,2194
10,26,9680,2236
10,27,9730,2268
10,28,9772,2298
10,29,9788,2330
11,-1,4272,1578
11,0,32,46
11,1,108,116
11,2,234,236
11,3,398,356
11,4,608,504
11,5,876,670
11,6,1192,768
11,7,1570,884
11,8,1918,956
11,9,2232,1074
11,10,2600,1196
11,11,3062,1324
11,12,3596,1416
11,13,4128,1540
11,14,4644,1630
11,15,5100,1712
11,16,5556,1782
11,17,6044,1900
11,18,6448,2040
11,19,6832,2204
11,20,7218,2432
11,21,7636,2584
11,22,7932,2758
11,23,8102,2840
11,24,8248,2902
11,25,8400,2996
11,26,8470,3072
11,27,8506,3102
11,28,8524,3132
11,29,8544,3152
12,-1,4767,1120
12,0,24,32
12,1,112,148
12,2,310,310
12,3,650,548
12,4,1094,688
12,5,1570,782
12,6,2018,868
12,7,2366,966
12,8,2694,1026
12,9,3100,1136
12,10,3594,1238
12,11,3992,1338
12,12,4448,1408
12,13,4894,1446
12,14,5364,1500
12,15,5826,1552
12,16,6168,1580
12,17,6530,1632
12,18,6922,1656
12,19,7320,1684
12,20,7680,1716
12,21,8006,1778
12,22,8342,1828
12,23,8644,1876
12,24,8926,1924
12,25,9172,1982
12,26,9340,2088
12,27,9438,2132
12,28,9506,2194
12,29,9534,2236
13,-1,4522,1306
13,0,56,108
13,1,324,254
13,2,696,412
13,3,1150,542
13,4,1664,684
13,5,2262,766
13,6,2846,868
13,7,3210,916
13,8,3568,954
13,9,3916,1012
13,10,4242,1072
13,11,4580,1104
13,12,4940,1128
13,13,5316,1176
13,14,5762,1214
13,15,6216,1242
13,16,6604,1366
13,17,6996,1524
13,18,7340,1666
13,19,7638,1800
13,20,7924,1914
13,21,8108,2002
13,22,8230,2064
13,23,8320,2186
13,24,8496,2272
13,25,8698,2416
13,26,8816,2456
13,27,8914,2488
13,28,9008,2540
13,29,9044,2610
14,-1,6164,2172
14,0,82,96
14,1,280,194
14,2,580,354
14,3,858,494
14,4,1142,684
14,5,1442,876
14,6,1864,988
14,7,2346,1064
14,8,2796,1134
14,9,3162,1288
14,10,3440,1442
14,11,3856,1634
14,12,4316,1864
14,13,4832,2062
14,14,5480,2338
14,15,6286,2480
14,16,7194,2560
14,17,8150,2682
14,18,9072,2812
14,19,9944,2994
14,20,10382,3332
14,21,10740,3400
14,22,11090,3516
14,23,11324,3696
14,24,11542,3928
14,25,11764,4040
14,26,12026,4132
14,27,12206,4208
14,28,12314,4310
14,29,12328,4342
15,-1,4752,1454
15,0,64,48
15,1,136,86
15,2,226,170
15,3,350,236
15,4,484,328
15,5,712,450
15,6,1014,600
15,7,1428,722
15,8,1894,864
15,9,2464,964
15,10,3058,1040
15,11,3630,1098
15,12,4162,1230
15,13,4696,1412
15,14,5306,1550
15,15,5928,1668
15,16,6458,1764
15,17,6900,2000
15,18,7336,2116
15,19,7766,2202
15,20,8228,2292
15,21,8662,2370
15,22,9024,2486
15,23,9246,2638
15,24,9372,2766
15,25,9430,2826
15,26,9460,2844
15,27,9476,2870
15,28,9490,2886
15,29,9504,2906
16,-1,31782,4400
16,0,272,208
16,1,1086,492
16,2,2090,764
16,3,3330,1088
16,4,5056,1310
16,5,6986,1454
16,6,9056,1608
16,7,11106,1974
16,8,13376,2440
16,9,15876,2878
16,10,18646,3378
16,11,21494,3746
16,12,24214,4068
16,13,27286,4390
16,14,30330,4646
16,15,33508,4866
16,16,36450,5122
16,17,39420,5224
16,18,42192,5640
16,19,45044,5888
16,20,47756,6168
16,21,50202,6450
16,22,52508,6722
16,23,54570,7054
16,24,56586,7376
