cloud_id,slice_id,area,perimeter,source_file,size_bin
382,-1,5284,1806,lattice_99_20250502_190102.csv,"[3001, 5843)"
741,-1,3688,1312,lattice_59_20250502_163644.csv,"[3001, 5843)"
538,-1,4387,1146,lattice_139_20250502_200756.csv,"[3001, 5843)"
1546,-1,3199,956,lattice_64_20250502_173606.csv,"[3001, 5843)"
1179,-1,4785,1452,lattice_34_20250502_153205.csv,"[3001, 5843)"
621,-1,4440,1294,lattice_69_20250502_173751.csv,"[3001, 5843)"
990,-1,4440,990,lattice_71_20250502_173736.csv,"[3001, 5843)"
938,-1,4728,996,lattice_129_20250502_200539.csv,"[3001, 5843)"
811,-1,4415,1086,lattice_28_20250502_143442.csv,"[3001, 5843)"
1378,-1,4136,1566,lattice_152_20250502_203737.csv,"[3001, 5843)"
1000,-1,5585,1408,lattice_35_20250502_153027.csv,"[3001, 5843)"
240,-1,3249,1128,lattice_89_20250502_182302.csv,"[3001, 5843)"
157,-1,4668,1276,lattice_113_20250502_193203.csv,"[3001, 5843)"
353,-1,5102,1190,lattice_60_20250502_163554.csv,"[3001, 5843)"
931,-1,3719,878,lattice_136_20250502_200702.csv,"[3001, 5843)"
368,-1,3543,1014,lattice_4_20250502_132654.csv,"[3001, 5843)"
1066,-1,5194,1638,lattice_191_20250502_220601.csv,"[3001, 5843)"
1378,-1,5153,1608,lattice_157_20250502_203949.csv,"[3001, 5843)"
566,-1,4916,1060,lattice_183_20250502_220056.csv,"[3001, 5843)"
613,-1,3942,1234,lattice_182_20250502_220016.csv,"[3001, 5843)"
1287,-1,5300,1332,lattice_126_20250502_193802.csv,"[3001, 5843)"
143,-1,3199,982,lattice_2_20250502_132712.csv,"[3001, 5843)"
943,-1,4506,1402,lattice_86_20250502_182035.csv,"[3001, 5843)"
210,-1,4787,1366,lattice_84_20250502_182143.csv,"[3001, 5843)"
1434,-1,3413,768,lattice_32_20250502_152925.csv,"[3001, 5843)"
1215,-1,4097,930,lattice_199_20250502_222245.csv,"[3001, 5843)"
1326,-1,3882,1226,lattice_177_20250502_215648.csv,"[3001, 5843)"
1072,-1,5284,1246,lattice_167_20250502_210652.csv,"[3001, 5843)"
869,-1,9677,2062,lattice_115_20250502_193327.csv,"[5843, 11376)"
544,-1,10896,2672,lattice_140_20250502_201055.csv,"[5843, 11376)"
1273,-1,8437,1662,lattice_90_20250502_182412.csv,"[5843, 11376)"
1459,-1,8835,1804,lattice_68_20250502_173741.csv,"[5843, 11376)"
1464,-1,5880,1448,lattice_144_20250502_202943.csv,"[5843, 11376)"
617,-1,8986,2028,lattice_147_20250502_203506.csv,"[5843, 11376)"
550,-1,10628,2068,lattice_147_20250502_203506.csv,"[5843, 11376)"
790,-1,7805,1934,lattice_176_20250502_213009.csv,"[5843, 11376)"
84,-1,8169,1654,lattice_26_20250502_143407.csv,"[5843, 11376)"
1635,-1,6143,1396,lattice_61_20250502_163947.csv,"[5843, 11376)"
696,-1,6601,1432,lattice_104_20250502_190116.csv,"[5843, 11376)"
391,-1,11092,2512,lattice_154_20250502_203820.csv,"[5843, 11376)"
1636,-1,6590,1328,lattice_49_20250502_163453.csv,"[5843, 11376)"
1510,-1,10239,2362,lattice_139_20250502_200756.csv,"[5843, 11376)"
161,-1,6978,1684,lattice_162_20250502_210348.csv,"[5843, 11376)"
438,-1,7366,2324,lattice_73_20250502_173906.csv,"[5843, 11376)"
1290,-1,6627,1820,lattice_193_20250502_222119.csv,"[5843, 11376)"
1638,-1,7742,2390,lattice_58_20250502_163848.csv,"[5843, 11376)"
132,-1,6682,1530,lattice_107_20250502_190213.csv,"[5843, 11376)"
1039,-1,8916,2256,lattice_178_20250502_215635.csv,"[5843, 11376)"
1045,-1,5844,1930,lattice_187_20250502_220310.csv,"[5843, 11376)"
931,-1,8624,2126,lattice_125_20250502_193843.csv,"[5843, 11376)"
661,-1,6098,1896,lattice_160_20250502_205900.csv,"[5843, 11376)"
1362,-1,7454,1562,lattice_121_20250502_193429.csv,"[5843, 11376)"
767,-1,6552,1494,lattice_115_20250502_193327.csv,"[5843, 11376)"
1459,-1,6284,1722,lattice_132_20250502_200423.csv,"[5843, 11376)"
1033,-1,6497,1518,lattice_18_20250502_143035.csv,"[5843, 11376)"
543,-1,7092,1922,lattice_114_20250502_193334.csv,"[5843, 11376)"
656,-1,16926,2896,lattice_6_20250502_132337.csv,"[11376, 22151)"
29,-1,15734,2328,lattice_111_20250502_190446.csv,"[11376, 22151)"
1290,-1,12478,2492,lattice_11_20250502_132235.csv,"[11376, 22151)"
322,-1,13737,2690,lattice_145_20250502_203405.csv,"[11376, 22151)"
472,-1,13415,2580,lattice_22_20250502_142846.csv,"[11376, 22151)"
351,-1,11433,1988,lattice_45_20250502_153328.csv,"[11376, 22151)"
1489,-1,13230,1966,lattice_168_20250502_210916.csv,"[11376, 22151)"
1593,-1,20770,3072,lattice_192_20250502_221856.csv,"[11376, 22151)"
671,-1,13631,3472,lattice_165_20250502_210612.csv,"[11376, 22151)"
774,-1,14092,2220,lattice_177_20250502_215648.csv,"[11376, 22151)"
71,-1,13938,3924,lattice_33_20250502_152721.csv,"[11376, 22151)"
1481,-1,14743,3792,lattice_110_20250502_190343.csv,"[11376, 22151)"
196,-1,18727,2512,lattice_106_20250502_190144.csv,"[11376, 22151)"
1232,-1,13808,3640,lattice_3_20250502_132621.csv,"[11376, 22151)"
1332,-1,18631,3608,lattice_151_20250502_203719.csv,"[11376, 22151)"
310,-1,15411,3304,lattice_56_20250502_163656.csv,"[11376, 22151)"
452,-1,12029,2572,lattice_67_20250502_173426.csv,"[11376, 22151)"
204,-1,11568,2354,lattice_94_20250502_182639.csv,"[11376, 22151)"
1485,-1,18743,2736,lattice_160_20250502_205900.csv,"[11376, 22151)"
417,-1,13878,2232,lattice_193_20250502_222119.csv,"[11376, 22151)"
401,-1,15038,3334,lattice_47_20250502_153629.csv,"[11376, 22151)"
913,-1,12998,2056,lattice_126_20250502_193802.csv,"[11376, 22151)"
946,-1,11734,2514,lattice_196_20250502_222257.csv,"[11376, 22151)"
993,-1,11377,2230,lattice_69_20250502_173751.csv,"[11376, 22151)"
1225,-1,12991,2306,lattice_155_20250502_203724.csv,"[11376, 22151)"
1575,-1,12059,2078,lattice_0_20250502_132347.csv,"[11376, 22151)"
516,-1,12954,3082,lattice_40_20250502_153038.csv,"[11376, 22151)"
1296,-1,15930,2748,lattice_79_20250502_174407.csv,"[11376, 22151)"
248,-1,29048,3820,lattice_39_20250502_153350.csv,"[22151, 43129)"
1492,-1,29776,3548,lattice_120_20250502_193513.csv,"[22151, 43129)"
145,-1,23112,4666,lattice_34_20250502_153205.csv,"[22151, 43129)"
1595,-1,30816,3270,lattice_142_20250502_201134.csv,"[22151, 43129)"
1240,-1,32268,4188,lattice_149_20250502_203536.csv,"[22151, 43129)"
946,-1,38861,6322,lattice_141_20250502_201220.csv,"[22151, 43129)"
521,-1,24442,3550,lattice_171_20250502_210852.csv,"[22151, 43129)"
