size_bin,slice_id,D_est
"[11880, 23637)",0,1.419246376733438
"[11880, 23637)",1,1.3486984286376835
"[11880, 23637)",2,1.315462461294377
"[11880, 23637)",3,1.3018521147108
"[11880, 23637)",4,1.2914284350603449
"[11880, 23637)",5,1.2824260274842236
"[11880, 23637)",6,1.2777706876334631
"[11880, 23637)",7,1.2794515385037533
"[11880, 23637)",8,1.284097307542723
"[11880, 23637)",9,1.2892834345315498
"[11880, 23637)",10,1.2930302316888502
"[11880, 23637)",11,1.2965902404718834
"[11880, 23637)",12,1.3019078468951992
"[11880, 23637)",13,1.307138443677939
"[11880, 23637)",14,1.310940583590004
"[11880, 23637)",15,1.3143812443819467
"[11880, 23637)",16,1.3160509288776945
"[11880, 23637)",17,1.317181692921381
"[11880, 23637)",18,1.3180952588740456
"[11880, 23637)",19,1.3211051104699303
"[11880, 23637)",20,1.322798576510633
"[11880, 23637)",21,1.3246560499155868
"[11880, 23637)",22,1.3263353288383728
"[11880, 23637)",23,1.3292926188784957
"[11880, 23637)",24,1.3312499551249837
"[11880, 23637)",25,1.3335923848158853
"[11880, 23637)",26,1.3341905352872323
"[11880, 23637)",27,1.336114099385292
"[11880, 23637)",28,1.3391066006533587
"[11880, 23637)",29,1.3412937311401774
"[1466481, 2917801)",0,1.4091987455931407
"[1466481, 2917801)",1,1.3467436207139596
"[1466481, 2917801)",2,1.3200813831507285
"[1466481, 2917801)",3,1.3031694713569157
"[1466481, 2917801)",4,1.300096274701881
"[1466481, 2917801)",5,1.2994114947478388
"[1466481, 2917801)",6,1.2961391993889393
"[1466481, 2917801)",7,1.2959275108180335
"[1466481, 2917801)",8,1.2932024795749373
"[1466481, 2917801)",9,1.2932677334905607
"[1466481, 2917801)",10,1.2955808942831541
"[1466481, 2917801)",11,1.2983114856333464
"[1466481, 2917801)",12,1.3009045835306354
"[1466481, 2917801)",13,1.3023738460405834
"[1466481, 2917801)",14,1.303024955828843
"[1466481, 2917801)",15,1.305395766744094
"[1466481, 2917801)",16,1.3079726436034531
"[1466481, 2917801)",17,1.308658803868297
"[1466481, 2917801)",18,1.3082250158970123
"[1466481, 2917801)",19,1.308772290830385
"[1466481, 2917801)",20,1.308447103283664
"[1466481, 2917801)",21,1.307898550112524
"[1466481, 2917801)",22,1.3081893061207253
"[1466481, 2917801)",23,1.309591911000646
"[1466481, 2917801)",24,1.3114604501423328
"[1466481, 2917801)",25,1.3127307530161167
"[1466481, 2917801)",26,1.3145264621557757
"[1466481, 2917801)",27,1.3174624397180061
"[1466481, 2917801)",28,1.321055034420419
"[1466481, 2917801)",29,1.3230707254048941
"[186182, 370440)",0,1.4191216989868207
"[186182, 370440)",1,1.3444896925417917
"[186182, 370440)",2,1.3153660114266974
"[186182, 370440)",3,1.3055237141021256
"[186182, 370440)",4,1.2927331391862618
"[186182, 370440)",5,1.2872377128296841
"[186182, 370440)",6,1.281816297670467
"[186182, 370440)",7,1.2797001051967578
"[186182, 370440)",8,1.2820653359558531
"[186182, 370440)",9,1.28367097154254
"[186182, 370440)",10,1.2867842782733754
"[186182, 370440)",11,1.2912923206492164
"[186182, 370440)",12,1.2957100174556255
"[186182, 370440)",13,1.3007733531245291
"[186182, 370440)",14,1.3037693453589074
"[186182, 370440)",15,1.3043342350019107
"[186182, 370440)",16,1.3062451544830314
"[186182, 370440)",17,1.3098904676460679
"[186182, 370440)",18,1.3132780985388202
"[186182, 370440)",19,1.3169529774179936
"[186182, 370440)",20,1.3198644800490544
"[186182, 370440)",21,1.322179411338116
"[186182, 370440)",22,1.3238343310007148
"[186182, 370440)",23,1.3249671914423655
"[186182, 370440)",24,1.326282942009923
"[186182, 370440)",25,1.3271049509115425
"[186182, 370440)",26,1.329653845088073
"[186182, 370440)",27,1.3323228624571566
"[186182, 370440)",28,1.335351863328617
"[186182, 370440)",29,1.3370493016557534
"[23637, 47030)",0,1.4184761338953111
"[23637, 47030)",1,1.3559502954757436
"[23637, 47030)",2,1.3232741981888452
"[23637, 47030)",3,1.2952851343069007
"[23637, 47030)",4,1.2806834977497021
"[23637, 47030)",5,1.2781279277516053
"[23637, 47030)",6,1.2781215188739157
"[23637, 47030)",7,1.277067670967699
"[23637, 47030)",8,1.278275197849759
"[23637, 47030)",9,1.279017179568158
"[23637, 47030)",10,1.282158706479405
"[23637, 47030)",11,1.2873231690208728
"[23637, 47030)",12,1.291468998614414
"[23637, 47030)",13,1.2958479697490388
"[23637, 47030)",14,1.2987252113964498
"[23637, 47030)",15,1.300831391300143
"[23637, 47030)",16,1.3029802150961576
"[23637, 47030)",17,1.3049929705666918
"[23637, 47030)",18,1.3076394445173876
"[23637, 47030)",19,1.310307059318265
"[23637, 47030)",20,1.3128797223910995
"[23637, 47030)",21,1.3153414430105483
"[23637, 47030)",22,1.3168602199482127
"[23637, 47030)",23,1.3182187735327944
"[23637, 47030)",24,1.3190534468605415
"[23637, 47030)",25,1.3208827087453647
"[23637, 47030)",26,1.3238300416265585
"[23637, 47030)",27,1.326640723308223
"[23637, 47030)",28,1.329913947879709
"[23637, 47030)",29,1.3318169370002908
