run,n_clouds,slope_real,slope_mirror,D_real,D_mirror,R2_real,R2_mirror,delta_D,delta_slope,delta_R2
1,190,0.6643342437741826,0.6920284361930679,1.3286684875483652,1.3840568723861357,0.9168413679722296,0.9611081869417873,-0.05538838483777053,-0.027694192418885266,-0.04426681896955775
2,187,0.6693752272141896,0.6929426673643796,1.3387504544283793,1.3858853347287592,0.930836784917804,0.9676352959306405,-0.04713488030037993,-0.023567440150189967,-0.03679851101283649
3,220,0.6744118754331507,0.6887972102056228,1.3488237508663015,1.3775944204112456,0.9152351772940513,0.9733738498911788,-0.028770669544944116,-0.014385334772472058,-0.05813867259712746
4,178,0.6818741119294777,0.7033754255394424,1.3637482238589553,1.4067508510788849,0.9252651806711611,0.961898953974871,-0.043002627219929535,-0.021501313609964767,-0.03663377330370987
5,179,0.6637527357105695,0.6877108178674083,1.327505471421139,1.3754216357348166,0.9183135956838467,0.9712362472606552,-0.04791616431367762,-0.02395808215683881,-0.05292265157680842
6,202,0.6870063047354571,0.7072018120390924,1.3740126094709142,1.4144036240781848,0.9307156290172633,0.9703747143778501,-0.04039101460727057,-0.020195507303635285,-0.03965908536058671
7,189,0.6642933675636341,0.673905813489657,1.3285867351272682,1.347811626979314,0.9272183586043043,0.9676684194295025,-0.019224891852045678,-0.009612445926022839,-0.0404500608251982
8,204,0.645104505005486,0.664023645724181,1.290209010010972,1.328047291448362,0.8983771804915555,0.9622663940775082,-0.0378382814373901,-0.01891914071869505,-0.06388921358595279
9,215,0.6429350902636137,0.6816766491059669,1.2858701805272275,1.3633532982119339,0.9101377708033378,0.9672805563014931,-0.07748311768470639,-0.038741558842353196,-0.057142785498155324
10,194,0.6932753516984774,0.6823125705643283,1.3865507033969549,1.3646251411286565,0.9376533088531455,0.9610895586564012,0.021925562268298338,0.010962781134149169,-0.02343624980325576
11,163,0.7018197494379599,0.6962192024824734,1.4036394988759198,1.3924384049649468,0.9045392040551952,0.9669768499287338,0.011201093910973015,0.005600546955486507,-0.062437645873538616
12,179,0.6928299704741363,0.6905430953728277,1.3856599409482726,1.3810861907456553,0.9305903431471096,0.968925868126217,0.004573750202617299,0.0022868751013086497,-0.038335524979107305
13,217,0.6609341902002035,0.7029713925270025,1.321868380400407,1.405942785054005,0.9251834219606238,0.9766725450182009,-0.08407440465359795,-0.04203720232679897,-0.051489123057577135
14,189,0.6540168372749245,0.6896911425762958,1.308033674549849,1.3793822851525916,0.9185312935141517,0.9622616543427293,-0.07134861060274256,-0.03567430530137128,-0.04373036082857751
15,188,0.6587132205298606,0.6835536479526083,1.3174264410597212,1.3671072959052166,0.9165464518478027,0.9627589669305034,-0.04968085484549545,-0.024840427422747724,-0.046212515082700745
16,200,0.6722706660192856,0.6876639565376188,1.3445413320385713,1.3753279130752376,0.9340102720165743,0.9700207848975841,-0.030786581036666316,-0.015393290518333158,-0.03601051288100987
17,216,0.672040042406357,0.689726891434302,1.344080084812714,1.379453782868604,0.9154565870404734,0.9652633711343636,-0.03537369805589008,-0.01768684902794504,-0.049806784093890166
18,193,0.6505415747375314,0.6819850628031615,1.3010831494750628,1.363970125606323,0.9206977647888186,0.9659053633754653,-0.06288697613126026,-0.03144348806563013,-0.04520759858664669
19,181,0.6642063106287159,0.7060102336014622,1.3284126212574319,1.4120204672029244,0.9313266912057676,0.9669739818609822,-0.08360784594549253,-0.041803922972746266,-0.03564729065521455
